Input X^n%m                 Result         O(n) sec     O(log n) sec 
589824^178909 % 423661      279507         0.00381742    0.00000205
546091^848635 % 322610      225451         0.01785925    0.00000246
189095^197537 % 515512      217927         0.00417950    0.00000164
273116^116947 % 527520      169376         0.00237321    0.00000123
178470^731491 % 673363      607083         0.01602258    0.00000328
903311^873954 % 858477      836476         0.01891551    0.00000205
166667^140652 % 765454      563731         0.00341470    0.00000164
795887^57882 % 358206       41413          0.00123443    0.00000164
403843^529897 % 304252      269215         0.01111646    0.00000164
138029^659201 % 111495      20384          0.01417812    0.00000205
110293^488908 % 742433      477822         0.01038450    0.00000164
907180^916495 % 430698      391654         0.01965855    0.00000205
582580^168053 % 398198      69878          0.00367251    0.00000164
798254^318381 % 817799      657961         0.00653465    0.00000205
533885^324129 % 177103      17482          0.00711923    0.00000164
295349^879286 % 682289      548746         0.01849678    0.00000287
398341^812762 % 96143       54565          0.01751852    0.00000246
428721^386284 % 233554      166459         0.00822353    0.00000205
664118^514201 % 265107      51368          0.01109101    0.00000205
541084^62558 % 68760        60856          0.00126892    0.00000123
134202^903436 % 165893      9844           0.01925830    0.00000205
635724^782667 % 782518      472902         0.01700290    0.00000164
509651^507083 % 550574      310475         0.01077368    0.00000164
610434^808283 % 839897      185908         0.01737196    0.00000246
999327^842426 % 366593      159745         0.01834325    0.00000205
796200^168796 % 339938      21322          0.00361914    0.00000164
262731^315068 % 663934      5195           0.00644721    0.00001478
725161^871523 % 961400      86081          0.01883546    0.00000246
834606^459917 % 931479      693123         0.00988408    0.00000164
855564^562863 % 725637      451128         0.01207954    0.00000205
661487^359289 % 895805      196347         0.00793124    0.00000205
758826^267851 % 687574      177622         0.00601452    0.00000205
348313^294585 % 459531      202141         0.00618900    0.00000205
518445^419289 % 938092      223921         0.00923587    0.00000205
374401^219833 % 119865      80461          0.00483633    0.00000205
460053^90138 % 327138       33279          0.00202920    0.00000164
666565^816208 % 58438       14351          0.01771105    0.00000328
553765^145423 % 187490      166435         0.00312282    0.00000164
936908^399479 % 846713      541352         0.00867100    0.00000205
718453^621862 % 433362      362761         0.01341045    0.00000246
832565^808717 % 762202      653183         0.01750127    0.00000205
849656^410990 % 207147      72679          0.00868126    0.00000164
598376^401016 % 696133      68798          0.00866073    0.00000164
903592^758090 % 593547      469936         0.01628408    0.00000205
595313^986069 % 602767      369625         0.02132855    0.00000164
170220^51139 % 345380       120520         0.00108500    0.00000164
221817^765292 % 992745      433566         0.01665478    0.00000205
976460^107812 % 559387      41129          0.00222296    0.00000123
226573^831376 % 454239      395215         0.01813101    0.00000205
348167^164856 % 805815      143281         0.00367005    0.00000164
839867^562472 % 822746      727623         0.01209883    0.00000164
568724^92451 % 217928       180696         0.00189332    0.00000164
275179^745893 % 717359      644601         0.01584606    0.00000205
541923^216250 % 584360      153689         0.00475956    0.00000205
812509^793496 % 603961      43006          0.01702507    0.00000205
264515^587178 % 318123      140284         0.01238415    0.00000246
